ec5_uuid,created_at,uploaded_at,title,1_Surveyor_Name,2_Park_Location,3_Tree_ID,4_Photo,5_Tree_Height_ft,lat_6_Location,long_6_Location,accuracy_6_Location,UTM_Northing_6_Location,UTM_Easting_6_Location,UTM_Zone_6_Location,7_Diameter_at_Breast,8_Tree_Spread_tip_to,9_Tree_Spread_tip_to,10_Tree_Condition,11_Notes_eg_mushroom,Species
e7b94429-2d1d-475a-9c36-e7a4e9edca92,2026-07-03T13:37:42.000Z,2026-07-03T13:59:05.000Z,e7b94429-2d1d-475a-9c36-e7a4e9edca92,Matt,RH-P,47,https://five.epicollect.net/api/media/npr-rittenhouse-and-redd-tree-inventory?type=photo&format=entry_original&name=e7b94429-2d1d-475a-9c36-e7a4e9edca92_1783085781.jpg,136,39.657256,-75.756582,9,4389990,435096,18S,31,25,30,Poor,Rot making it poor,
b800e627-3f04-4eb6-b465-dbb0d93a81eb,2026-07-03T13:36:04.000Z,2026-07-03T13:59:00.000Z,b800e627-3f04-4eb6-b465-dbb0d93a81eb,Matt,RH-P,46,https://five.epicollect.net/api/media/npr-rittenhouse-and-redd-tree-inventory?type=photo&format=entry_original&name=b800e627-3f04-4eb6-b465-dbb0d93a81eb_1783085638.jpg,131,39.65716,-75.75655,4,4389979,435098,18S,31,62,40,Good,Sample 2 estimate,
01029f64-f252-4e0c-8698-8deaf86dcb9b,2026-07-03T13:29:23.000Z,2026-07-03T13:58:55.000Z,01029f64-f252-4e0c-8698-8deaf86dcb9b,Matt,RH-P,45,https://five.epicollect.net/api/media/npr-rittenhouse-and-redd-tree-inventory?type=photo&format=entry_original&name=01029f64-f252-4e0c-8698-8deaf86dcb9b_1783085324.jpg,158,39.657086,-75.75645,6,4389971,435107,18S,39,42,58,Fair,Sample 2 estimate,
97286ed1-93f5-498b-beba-69a2528f3afa,2026-07-03T13:27:59.000Z,2026-07-03T13:58:49.000Z,97286ed1-93f5-498b-beba-69a2528f3afa,Matt,RH-P,44,https://five.epicollect.net/api/media/npr-rittenhouse-and-redd-tree-inventory?type=photo&format=entry_original&name=97286ed1-93f5-498b-beba-69a2528f3afa_1783085129.jpg,148,39.657126,-75.756283,7,4389975,435121,18S,41,53,47,Fair,,
ede502c6-bb12-4ae4-ae16-9180a95a88db,2026-07-03T13:24:28.000Z,2026-07-03T13:58:45.000Z,ede502c6-bb12-4ae4-ae16-9180a95a88db,Matt,RH-P,43,https://five.epicollect.net/api/media/npr-rittenhouse-and-redd-tree-inventory?type=photo&format=entry_original&name=ede502c6-bb12-4ae4-ae16-9180a95a88db_1783084989.jpg,146,39.657063,-75.756251,12,4389968,435124,18S,31,53,47,Good,,
79e0e747-15a5-4698-a91d-c1fe84d3c11c,2026-07-03T13:22:49.000Z,2026-07-03T13:58:39.000Z,79e0e747-15a5-4698-a91d-c1fe84d3c11c,Matt,RH-P,42,https://five.epicollect.net/api/media/npr-rittenhouse-and-redd-tree-inventory?type=photo&format=entry_original&name=79e0e747-15a5-4698-a91d-c1fe84d3c11c_1783084879.jpg,157,39.657078,-75.756272,4,4389970,435122,18S,31,35,40,Good,Sample 2 estimate,
0c19f896-5438-4011-b7bd-842105672011,2026-07-03T13:19:46.000Z,2026-07-03T13:58:34.000Z,0c19f896-5438-4011-b7bd-842105672011,Matt,RH-P,41,https://five.epicollect.net/api/media/npr-rittenhouse-and-redd-tree-inventory?type=photo&format=entry_original&name=0c19f896-5438-4011-b7bd-842105672011_1783084691.jpg,128,39.65708,-75.75644,11,4389970,435108,18S,20,31,45,Poor,,
9078523b-5d06-4f7d-a0ff-ed6735935202,2026-07-03T13:17:42.000Z,2026-07-03T13:58:29.000Z,9078523b-5d06-4f7d-a0ff-ed6735935202,Matt,RH-P,40,https://five.epicollect.net/api/media/npr-rittenhouse-and-redd-tree-inventory?type=photo&format=entry_original&name=9078523b-5d06-4f7d-a0ff-ed6735935202_1783084557.jpg,156,39.656993,-75.756378,13,4389961,435113,18S,54,31,45,Fair,"Sample 2 estimate, significant moss and leaning making it fair.",
ed204e52-1910-4a88-a6c8-3b65aca8d5c9,2026-07-03T13:15:35.000Z,2026-07-03T13:58:24.000Z,ed204e52-1910-4a88-a6c8-3b65aca8d5c9,Matt,RH-P,39,https://five.epicollect.net/api/media/npr-rittenhouse-and-redd-tree-inventory?type=photo&format=entry_original&name=ed204e52-1910-4a88-a6c8-3b65aca8d5c9_1783084363.jpg,149,39.657033,-75.756557,7,4389965,435098,18S,38,85,42,Good,,
213fb21c-7f93-4039-baaa-3d232ecbb62b,2026-07-03T13:12:18.000Z,2026-07-03T13:58:17.000Z,213fb21c-7f93-4039-baaa-3d232ecbb62b,Matt,RH-P,38,https://five.epicollect.net/api/media/npr-rittenhouse-and-redd-tree-inventory?type=photo&format=entry_original&name=213fb21c-7f93-4039-baaa-3d232ecbb62b_1783084202.jpg,142,39.656886,-75.756625,13,4389949,435092,18S,44,78,45,Good,Sample 2 estimate,
e6878c33-f8d2-48ea-b9d7-eda6c24ddec7,2026-07-03T13:09:31.000Z,2026-07-03T13:58:12.000Z,e6878c33-f8d2-48ea-b9d7-eda6c24ddec7,Matt,RH-P,37,https://five.epicollect.net/api/media/npr-rittenhouse-and-redd-tree-inventory?type=photo&format=entry_original&name=e6878c33-f8d2-48ea-b9d7-eda6c24ddec7_1783083984.jpg,137,39.65669,-75.756682,10,4389927,435087,18S,43,53,40,Poor,Sample 2 estimate,
